action_id,midpoint_x,midpoint_z,angle,angle_deg,target_gap,gripper_rate,actual_gap_f29,offset_along_axis,offset_perp_axis,compression_RMS,residual_RMS,normalized_residual,max_disp_f29,max_disp_f39,min_finger_clearance,finger_pin_distance,both_fingers_contact,first_contact_frame,height_ratio_f39,quality_class
20,0.561254885888009,0.5634512369396749,0.05008496106752224,2.8696568862460667,0.08038741382442298,0.010493543102926283,0.08038741382444253,0.05800144865707949,0.0664383358311144,0.03620509841931861,0.03336157690402936,0.9214607433915445,0.13732617918386994,0.12786107093780522,-0.02126033209452747,0.0017876826274405358,True,"[16, 25]",1.1832517624995416,GOOD
21,0.4590674366269526,0.5755304828796077,0.5150504540156614,29.51021725139428,0.1657209235384956,0.009071317941025074,0.1657209235384736,-0.0728270062352064,0.045569241283265484,0.028674079579523247,0.024163110376421795,0.8426812902366767,0.10257674782495493,0.09073713848238785,-0.01815269054216504,0.0014509410655262692,True,"[27, 17]",1.1314622217008454,GOOD
22,0.5585549998640884,0.5704373370299705,3.0848080947935177,176.74648443946094,0.12098357438304486,0.009816940426949253,0.12098357438306484,-0.06245822426437557,0.067000572226646,0.031607379607970505,0.0283035099466353,0.895471573337827,0.11468811569097895,0.1020268787561319,-0.018480815032259713,0.009630171523739357,True,"[26, 17]",1.1444724181017274,GOOD
23,0.41452781889871804,0.46729554195600803,0.930132134858221,53.29264571686918,0.143981504623798,0.009433641589603367,0.14398150462380985,-0.024869991603390196,0.08807132811425562,0.00936694839007674,0.006767231839815311,0.7224585380425983,0.04441329349813628,0.031123717834103566,-0.010426075557080403,0.057447218052497785,True,"[27, 24]",1.071245115521984,TOO_WEAK
24,0.5428881893317062,0.5474690935502894,2.6322115382870632,150.81461192948683,0.15548453698084103,0.00924192438365265,0.15548453698084166,-0.060591069693680215,0.020528855302086202,0.02903360913943377,0.026305532399476785,0.9060372850355803,0.10724461615881543,0.09616251632587308,-0.01801389850762364,-0.004546158157941078,True,"[27, 17]",1.1473273253477787,PIN_COLLISION
25,0.5961068094003451,0.5586032297736889,0.32764777338601625,18.77283458187755,0.08469112917280122,0.010421814513786647,0.08469112917282101,0.07213460886351826,0.08641444067474648,0.04385457231680026,0.03421349117653637,0.7801579030205138,0.176202096389285,0.15446710246067025,-0.023837006380768147,0.01774296969631558,True,"[12, 26]",1.227918277878793,GOOD
26,0.40777921811922735,0.4575172784970103,1.9636697386357076,112.5099883813835,0.16236953014988564,0.009127174497501908,0.16236953014989955,0.07455230001781121,0.0689304635053029,0.028686485786546274,0.020545139042781716,0.7161957444232231,0.09466738892107357,0.0799536507821962,-0.016158429979754932,0.01612386572220629,True,"[19, 28]",1.101685206333206,GOOD
27,0.4546289756530829,0.47240439587141864,2.1601958503826895,123.77010514860194,0.1374011635665156,0.009543313940558074,0.13740116356649906,0.048159551713557056,0.02237643394866893,0.027116212201667975,0.02461132312056787,0.9076239313046081,0.10723531953164568,0.09646954576741827,-0.018738088500593737,-0.0007444484618370564,True,"[17, 24]",1.160312365304009,PIN_COLLISION
28,0.47064978488645703,0.5153222101290528,1.531642895146128,87.75667361307163,0.15011517185832327,0.00933141380236128,0.15011517185834797,-0.01645933527730675,0.02872795733565648,0.012868704896641079,0.01051415704438502,0.8170330370330715,0.058105480892343596,0.04660474700380115,-0.012538259951280863,0.03750764191815908,True,"[26, 23]",1.097227910239529,TOO_WEAK
29,0.47415808663578973,0.5968602311185524,2.4031556198372606,137.69067452982037,0.17098955684984726,0.00898350738583588,0.17098955684982928,-0.04608915530375235,0.0890252695702143,0.01285506971699706,0.008437680152911107,0.6563698477461192,0.051529116471810556,0.035688034988744524,-0.010773101029055564,0.052677658261482775,False,"[None, 23]",1.0865887920870094,INVALID_GEOMETRY
